hiring_year,reisgn_year,total_hired,total_resign,total_people,changes
0,2006,0,1.0,0.0,1.0,1.0
1,2007,0,2.0,0.0,3.0,2.0
2,2008,0,2.0,0.0,5.0,2.0
3,2009,0,7.0,0.0,12.0,7.0
4,2010,0,8.0,0.0,20.0,8.0
5,2011,0,76.0,0.0,96.0,76.0
6,2012,2012,41.0,1.0,136.0,40.0
7,2013,2013,43.0,3.0,177.0,40.0
8,2014,2014,56.0,6.0,230.0,50.0
9,2015,2015,31.0,13.0,254.0,18.0
10,2016,2016,14.0,12.0,269.0,2.0
11,2017,2017,5.0,19.0,267.0,-14.0
12,2018,2018,1.0,19.0,268.0,-18.0
13,2019,2019,0.0,7.0,280.0,-7.0
14,2020,2020,0.0,13.0,274.0,-13.0